Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
7.0,0,4,3,yes,yes,information security,system designing,medium,medium,Computer Architecture,developer,Cloud Services,yes,Prayer books,Technical,smart worker,no,yes,Network Security Engineer
4.0,2,6,7,yes,yes,shell programming,web technologies,excellent,excellent,Software Engineering,testing,Sales and Marketing,no,Guide,Management,hard worker,no,no,UX Designer
8.0,3,4,9,yes,yes,machine learning,database security,medium,medium,networks,testing,Service Based,no,Journals,Technical,hard worker,yes,yes,Technical Support
5.0,0,3,8,no,no,information security,web technologies,excellent,medium,programming,Business process analyst,Finance,yes,Prayer books,Technical,smart worker,yes,yes,Web Developer
7.0,0,7,6,yes,no,app development,database security,poor,poor,parallel computing,,product development,no,Journals,Management,smart worker,yes,yes,Systems Security Administrator
3.0,1,8,8,no,no,python,system designing,poor,medium,data engineering,cloud computing,Service Based,no,Prayer books,Management,smart worker,yes,yes,Software Developer
7.0,6,4,5,no,no,shell programming,cloud computing,poor,medium,cloud computing,Business process analyst,product development,no,Guide,Technical,hard worker,no,yes,Web Developer
8.0,6,2,8,yes,no,distro making,game development,medium,poor,Software Engineering,,SAaS services,no,Dictionaries,Management,hard worker,yes,no,Systems Security Administrator
5.0,5,3,4,no,yes,hadoop,system designing,excellent,medium,Software Engineering,system developer,Service Based,yes,Prayer books,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing
4.0,1,1,8,no,yes,hadoop,web technologies,poor,poor,Software Engineering,cloud computing,product development,yes,Guide,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing
8.0,2,8,2,no,no,app development,data science,excellent,poor,programming,system developer,Finance,no,Health,Management,smart worker,no,yes,Applications Developer
8.0,6,3,5,yes,yes,app development,data science,excellent,poor,programming,developer,BPA,yes,Dictionaries,Management,smart worker,no,yes,Systems Security Administrator
3.0,3,7,9,no,no,machine learning,testing,poor,poor,data engineering,cloud computing,Testing and Maintainance Services,no,Art,Technical,hard worker,yes,no,Software Developer
6.0,1,5,4,no,,shell programming,database security,poor,medium,networks,,Testing and Maintainance Services,no,Journals,Technical,hard worker,yes,yes,Systems Security Administrator
5.0,0,5,6,no,yes,hadoop,web technologies,excellent,poor,Software Engineering,developer,Finance,yes,Anthology,Technical,smart worker,yes,yes,Database Developer
2.0,3,7,1,yes,yes,hadoop,testing,poor,poor,Management,testing,Sales and Marketing,yes,Travel,Management,hard worker,no,no,Web Developer
8.0,3,9,9,no,yes,machine learning,web technologies,poor,medium,IOT,security,BPA,yes,Anthology,Technical,hard worker,no,yes,Database Developer
6.0,0,5,1,yes,no,hadoop,database security,poor,medium,Management,Business process analyst,SAaS services,no,Dictionaries,Technical,hard worker,no,no,Software Developer
2.0,1,1,5,yes,yes,distro making,system designing,medium,excellent,Computer Architecture,testing,Finance,yes,Art,Technical,hard worker,yes,yes,Systems Security Administrator
5.0,0,1,4,yes,no,shell programming,system designing,excellent,medium,Management,testing,Testing and Maintainance Services,no,Journals,Technical,hard worker,no,no,Software Engineer
